service_id,customer_id,car_id,service_date,service_type_id,service_description,cost,status,dealer_id
SE6811,CU1608,CA8163,2022-06-22 10:17:30,SET3984,Able bag others suggest probably whatever manage.,58614.92,in-progress,DE6012
SE8812,CU1808,CA5142,2023-11-04 10:56:27,SET2298,Bag couple indeed activity boy young most.,8517.43,completed,DE9643
SE8831,CU5902,CA7096,2025-01-13 11:07:15,SET5586,Walk happen board democratic start up industry.,47738.92,in-progress,DE8075
SE4118,CU3033,CA8110,2024-03-28 16:40:19,SET1705,Often still player audience need necessary produce.,11759.41,completed,DE1920
SE4409,CU2522,CA1989,2022-05-03 05:14:07,SET5586,Send red health.,77661.67,completed,DE6272
SE3615,CU3972,CA8367,2023-07-19 16:52:21,SET3984,Begin anyone government whatever out live case.,51934.08,completed,DE1920
SE5204,CU3589,CA1257,2022-08-28 08:21:19,SET1705,Happen security sure.,67256.8,completed,DE3226
SE8907,CU1653,CA4551,2022-07-06 17:54:41,SET2298,Popular painting second dream.,29446.53,completed,DE8375
SE3459,CU8562,CA5545,2024-10-15 19:03:01,SET2298,And direction five likely might.,71309.52,in-progress,DE8245
SE6581,CU1490,CA8163,2023-02-06 17:35:47,SET1705,Pick myself purpose behavior look whatever body.,16557.9,completed,DE9086
SE7502,CU1891,CA7630,2024-07-26 15:20:38,SET1627,Reach mother notice our.,65664.58,completed,DE9190
SE8491,CU1605,CA8743,2025-02-22 12:36:37,SET1627,Book society between dinner.,78222.95,in-progress,DE4980
SE3779,CU6711,CA2442,2022-12-17 20:51:46,SET5586,There these though activity.,25755.36,in-progress,DE9359
SE5671,CU1808,CA2986,2024-08-17 11:04:19,SET3984,Begin land language live the season much.,7345.88,in-progress,DE9006
SE2972,CU4275,CA5889,2023-08-24 01:23:50,SET3984,Also might nothing open second serve north.,71998.71,in-progress,DE9176
SE4821,CU8174,CA3562,2023-01-15 17:33:00,SET5586,Company assume option song west American.,7419.92,completed,DE8509
SE3249,CU7935,CA6134,2023-04-26 15:00:06,SET1705,Painting trouble better similar ten since.,64500.88,completed,DE1383
SE5468,CU6742,CA5564,2024-10-27 21:01:57,SET2298,Hope around back power loss knowledge.,75139.81,in-progress,DE7184
SE3229,CU1442,CA9716,2024-03-06 04:11:48,SET2298,Moment law wide wrong college turn.,13837.94,in-progress,DE4275
SE3215,CU7935,CA9651,2022-11-02 00:38:26,SET1705,This yard sure include modern then strategy.,77776.99,in-progress,DE8186
SE8881,CU4831,CA4281,2024-12-25 19:46:40,SET1627,Yourself watch seek.,18309.15,in-progress,DE4267
SE7977,CU4833,CA7630,2023-01-12 08:17:22,SET1627,Itself design involve central high development.,62939.11,completed,DE4275
SE2892,CU1605,CA5545,2024-09-30 23:20:25,SET2298,Along benefit finally their allow factor.,11502.58,completed,DE9741
SE4548,CU8440,CA8460,2022-06-25 16:40:09,SET2298,Activity politics central parent majority let.,14426.58,in-progress,DE6055
SE3780,CU2631,CA7096,2024-11-22 17:50:57,SET3984,Service against page determine to pay fine describe.,41240.3,completed,DE1705
SE9229,CU9821,CA2561,2024-10-01 16:59:38,SET1627,End under sound bill cultural.,26728.94,completed,DE6799
SE2448,CU2803,CA5443,2022-08-23 09:07:04,SET1627,Cell thank responsibility anyone share drop edge.,27896.71,completed,DE2515
SE6597,CU7503,CA3099,2024-01-07 00:45:12,SET1627,Benefit cause throw measure through much.,34286.56,completed,DE1920
SE2188,CU1442,CA6717,2024-09-17 03:56:00,SET3984,Simply throw book though admit statement.,52183.47,in-progress,DE4780
SE4480,CU7700,CA4128,2024-07-06 00:36:27,SET1627,Raise race process girl store response three spend.,17584.02,in-progress,DE4967
SE1201,CU5347,CA7236,2022-09-21 15:49:28,SET5586,Should speech mission safe everything near produce.,43779.36,in-progress,DE9589
SE6075,CU3093,CA2479,2022-10-13 19:55:38,SET1627,Heart state can media voice himself.,34435.31,completed,DE6012
SE8177,CU6667,CA4281,2022-11-18 13:43:18,SET5586,Add same quality gas yes huge official.,26101.67,in-progress,DE2130
SE1117,CU3921,CA6948,2024-05-27 18:39:10,SET1627,In either end medical research create record keep.,65403.86,in-progress,DE9589
SE7459,CU1652,CA6782,2023-07-20 21:40:46,SET2298,Ahead affect stuff identify enough discuss.,6506.97,completed,DE8847
SE8996,CU6702,CA6992,2022-09-16 12:35:43,SET1705,Bit national itself fire success sure.,20449.02,completed,DE7770
SE1598,CU6667,CA9241,2022-07-03 20:29:28,SET1705,Brother resource exist well.,58381.13,in-progress,DE6055
SE8606,CU1851,CA6992,2022-09-20 18:03:27,SET1705,Ready event former.,46982.64,completed,DE6799
SE4112,CU7700,CA3058,2023-11-15 08:01:31,SET3984,Wait traditional determine outside campaign type.,76864.76,completed,DE6303
SE5990,CU6729,CA7309,2023-01-14 14:30:20,SET5586,Fight physical reason.,73795.0,completed,DE8847
SE5758,CU3972,CA7357,2022-07-27 15:07:37,SET3984,Hit somebody visit test increase young vote.,79326.26,completed,DE7894
SE6915,CU4970,CA7060,2024-05-18 08:43:46,SET1705,Other most head history.,5638.37,in-progress,DE5286
